,msg_text,ham_or_spam
359,We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.,ham
360,"Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also boughtbraindancea comp.ofstuff on aphexs ;abel,u hav2hear it!c u sn xxxx",ham
361,Omg if its not one thing its another. My cat has worms :/ when does this bad day end?,ham
362,"He said that he had a right giggle when he saw u again! You would possibly be the first person2die from NVQ, but think how much you could for! ",ham
363,Ok then i will come to ur home after half an hour,ham
364,It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,ham
365,"FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)",ham
366,K:)k:)what are detail you want to transfer?acc no enough?,ham
367,"Aldrine, rakhesh ex RTM here.pls call.urgent.",ham
368,You unbelievable faglord,ham
369,"My planning usually stops at ""find hella weed, smoke hella weed""",ham
370,I'm still looking for a car to buy. And have not gone 4the driving test yet.,ham
371,"Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng.",ham
372,I want to send something that can sell fast.  &lt;#&gt; k is not easy money.,ham
373,ALSO TELL HIM I SAID HAPPY BIRTHDAY,ham
374,Yup but not studying surfing lor. I'm in e lazy mode today.,ham
375,Oh ho. Is this the first time u use these type of words,ham
376,"Aight, I'll hit you up when I get some cash",ham
377,Where do you need to go to get it?,ham
378,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ham
379,"Until 545 lor... Ya, can go 4 dinner together...",ham
380,The new deus ex game comin early next yr,ham
381,Me too. Mark is taking forever to pick up my prescription and the pain is coming back.,ham
382,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,ham
383,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",ham
384,Did u fix the teeth?if not do it asap.ok take care.,ham
385,That day you asked about anand number. Why:-),ham
386,Eat at old airport road... But now 630 oredi... Got a lot of pple...,ham
387,There the size of elephant tablets & u shove um up ur ass!!,ham
388,I reach home safe n sound liao...,ham
389,God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8,ham
390,Thanks for looking out for me. I really appreciate.,ham
391,Buy one egg for me da..please:),ham
392,Ok lor...,ham
393,"For your chance to WIN a FREE Bluetooth Headset then simply reply back with ""ADP""",spam
394,"You at mu? You should try to figure out how much money everyone has for gas and alcohol, jay and I are trying to figure out our weed budget",ham
395,Text BANNEDUK to 89555 to see! cost 150p textoperator g696ga 18+ XXX,spam
396,Ok i am on the way to railway,ham
397,SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.,ham
398,Rightio. 11.48 it is then. Well arent we all up bright and early this morning.,ham
399,Sure! I am driving but will reach my destination soon.,ham
400,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,ham
401,I like dis sweater fr mango but no more my size already so irritating.,ham
402,Get ready to put on your excellent sub face :),ham
403,"Kind of. Just missed train cos of asthma attack, nxt one in half hr so driving in. not sure where to park.",ham
404,As in different styles?,ham
405,"This is the 2nd attempt to contract U, you have won this weeks top prize of either £1000 cash or £200 prize. Just call 09066361921",spam
406,Blank is Blank. But wat is blank? Lol,ham
407,No i am not having not any movies in my laptop,ham
408,"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith..",spam
409,Just haven't decided where yet eh ?,ham
410,"Not yet chikku..k, then wat abt tht guy did he stopped irritating or msging to u..",ham
411,They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.,ham
412,And you! Will expect you whenever you text! Hope all goes well tomo ,ham
413,If you are not coughing then its nothing,ham
414,Rofl betta invest in some  anti aging products,ham
415,Sounds great! Im going to sleep now. Have a good night!,ham
416,hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?,ham
417,She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.,ham
418,"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !",ham
419,"Nimbomsons. Yep phone knows that one. Obviously, cos thats a real word",ham
420,"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?",ham
421,K... Must book a not huh? so going for yoga basic on sunday?,ham
422,Cps is causing the outages to conserve energy.,ham
423,Discussed with your mother ah?,ham
424,Love you aathi..love u lot..,ham
425,Great. So should i send you my account number.,ham
426,Urgent Ur £500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 £1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,spam
427,Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?,ham
428,Check wid corect speling i.e. Sarcasm,ham
429,"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !",spam
430,Oops. 4 got that bit.,ham
431,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ...",ham
432,I re-met alex nichols from middle school and it turns out he's dealing!,ham
433,What time. I‘m out until prob 3 or so,ham
434,Then u drive lor.,ham
435,Ok i shall talk to him,ham
436,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565,spam
437,"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt",ham
438,"Haha good to hear, I'm officially paid and on the market for an 8th",ham
439,I'm leaving my house now...,ham
440,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",spam
441,i felt so...not any conveying reason.. Ese he... What about me?,ham
442,U don't remember that old commercial?,ham
443,Change again... It's e one next to escalator...,ham
444,"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=",spam
445,"K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-)",ham
446,Great! So what attracts you to the brothas?,ham
447,yay! finally lol. i missed our cinema trip last week :-(,ham
448,Dunno y u ask me.,ham
449,"It's wylie, you in tampa or sarasota?",ham
450,Ok thanx...,ham
451,tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,spam
452,I dun believe u. I thk u told him.,ham
453,"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?",ham
454,"Hi there, 2nights ur lucky night! Uve been invited 2 XCHAT, the Uks wildest chat! Txt CHAT to 86688 now! 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs",spam
455,Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too,ham
456,Where is that one day training:-),ham
457,I was gonna ask you lol but i think its at 7,ham
458,(You didn't hear it from me),ham
459,What you did in  leave.,ham
460,What is this 'hex' place you talk of? Explain!,ham
461,For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p,spam
462,I have a rather prominent bite mark on my right cheek,ham
463,Hey darlin.. i can pick u up at college if u tell me wen & where 2 mt.. love Pete xx,ham
464,Am surfing online store. For offers do you want to buy any thing.,ham
465,Dude avatar 3d was imp. At one point i thought there were actually flies in the room and almost tried hittng one as a reflex,ham
466,The wine is flowing and i'm i have nevering..,ham
467,Super msg da:)nalla timing.,ham
468,Midnight at the earliest,ham
469,I sent them. Do you like?,ham
470,Win a £1000 cash prize or a prize worth £5000,spam
471,"Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm. ",ham
472,Then ü ask dad to pick ü up lar... Ü wan 2 stay until 6 meh...,ham
473,Oh did you charge camera,ham
474,Love it! I want to flood that pretty pussy with cum...,ham
475,Ugh I don't wanna get out of bed. It's so warm.,ham
476,Well then you have a great weekend!,ham
477,So the sun is anti sleep medicine.,ham
478,Ü comin to fetch us oredi...,ham
479,Friends that u can stay on fb chat with,ham
480,Take some small dose tablet for fever,ham
481,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327",spam
482,"Sorry, I'll call later",ham
483,"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence..",ham
484,"Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around",ham
485,Jesus armand really is trying to tell everybody he can find,ham
486,"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash",ham
487,No one interested. May be some business plan.,ham
488,Sounds like you have many talents! would you like to go on a dinner date next week?,ham
489,This is the 2nd time we have tried to contact u. U have won the £1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm,spam
490,Lol! Oops sorry! Have fun. ,ham
491,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,ham
492,"Sorry man my account's dry or I would, if you want we could trade back half or I could buy some shit with my credit card",ham
493,Did you see that film:),ham
494,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,spam
495,Have you seen who's back at Holby?!,ham
496,Mum not going robinson already.,ham
497,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,spam
498,Lol. Well quality aint bad at all so i aint complaining,ham
499,How i noe... She's in da car now... Later then c lar... I'm wearing shorts...,ham
500,Wish u many many returns of the day.. Happy birthday vikky..,ham
501,You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged,ham
502,Then u better go sleep.. Dun disturb u liao.. U wake up then msg me lor..,ham
503,I can take you at like noon,ham
504,I anything lor...,ham
505,Send this to ur friends and receive something about ur voice..... How is my speaking expression? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful of attitude 6.romantic 7.shy 8.Attractive 9.funny  &lt;#&gt; .irritating  &lt;#&gt; .lovable. reply me..,ham
506,Then anything special?,ham
507,Hi my email address has changed now it is ,ham
508,Watching tv now. I got new job :),ham
509,"Can meh? Thgt some will clash... Really ah, i dun mind... I dun seen to have lost any weight... Gee...",ham
510,K...k:)why cant you come here and search job:),ham
511,Ü v ma fan...,ham
512,Mm feeling sleepy. today itself i shall get that dear,ham
513,Ranjith cal drpd Deeraj and deepak 5min hold,ham
514,I think that tantrum's finished so yeah I'll be by at some point,ham
515,How much would it cost to hire a hitman,ham
516,No problem. We will be spending a lot of quality time together...,ham
517,I will be gentle princess! We will make sweet gentle love...,ham
518,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",spam
519,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08718727870150ppm,spam
520,At home also.,ham
521,Already am squatting is the new way of walking,ham
522,Do you know when dad will be back?,ham
523,Meet after lunch la...,ham
524,"K, wait chikku..il send aftr  &lt;#&gt; mins",ham
525,"sorry, no, have got few things to do. may be in pub later.",ham
526,I'm done oredi...,ham
527,Great. Hope you are using your connections from mode men also cos you can never know why old friends can lead you to today,ham
528,"The gas station is like a block away from my house, you'll drive right by it since armenia ends at swann and you have to take howard",ham
529,Haf u found him? I feel so stupid da v cam was working.,ham
530,A link to your picture has been sent. You can also use http://alto18.co.uk/wave/wave.asp?o=44345,spam
531,Mmmm.... I cant wait to lick it!,ham
532,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:,ham
533,Was the actual exam harder than NBME,ham
534,"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later.",ham
535,I‘ll have a look at the frying pan in case it‘s cheap or a book perhaps. No that‘s silly a frying pan isn‘t likely to be a book,ham
536,Now only i reached home. . . I am very tired now. . I will come tomorro,ham
537,What your plan for pongal?,ham
538,Oh k. . I will come tomorrow,ham
539,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04,spam
540,HI ITS KATE CAN U GIVE ME A RING ASAP XXX,ham
541,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,spam
542,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...,ham
543,"Call 09094100151 to use ur mins! Calls cast 10p/min (mob vary). Service provided by AOM, just GBP5/month. AOM Box61,M60 1ER until u stop. Ages 18+ only!",spam
544,Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or £5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm,spam
545,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468",spam
546,True dear..i sat to pray evening and felt so.so i sms'd you in some time...,ham
547,Getting tickets 4 walsall tue 6 th march. My mate is getting me them on sat. ill pay my treat. Want 2 go. Txt bak .Terry,ham
548,No message..no responce..what happend?,ham
549,Did u got that persons story,ham
550,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,spam
551,FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free,spam
552,+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,spam
553,Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams,ham
554,"Alright we'll bring it to you, see you in like  &lt;#&gt;  mins",ham
555,If You mean the website. Yes.,ham
556,"Ya they are well and fine., BBD(pooja) full pimples..even she become quite black..and ur rite here its too cold, wearing sweatter..",ham
557,I am on the way to tirupur.,ham
